,Location,Departure_airport,Destination,Arrival_airport,Age,Income,Car travel time,Car travel cost,Air travel time,Air travel cost,Mode,Aircraft
45,New York city,EWR,San Jose city,SFO,15-24,67046.0,51.82394444444445,518.2394444444445,9.650724419501692,335.9936071130333,Air,Narrowbody
46,New York city,EWR,New York city,EWR,45-64,67046.0,0.0,0.0,2.6993333333333336,1000.0,Car,Narrowbody
47,San Diego city,LAX,Washington city,BWI,65+,83454.0,47.28661111111111,472.8661111111111,8.738581852772432,259.68112847104294,Air,Widebody
48,San Jose city,SFO,Las Vegas city,LAS,45-64,117324.0,9.833694444444443,98.33694444444444,4.056746316842343,60.37127569513956,Air,Narrowbody
49,New York city,EWR,Phoenix city,PHX,25-44,67046.0,44.236666666666665,442.3666666666667,7.765832410272079,240.01277332385538,Air,Widebody
50,Philadelphia city,PHL,New York city,EWR,65+,49127.0,1.982361111111111,19.82361111111111,3.0529714233965883,45.87566570739386,Car,Battery-electric commuter
51,Philadelphia city,PHL,Denver city,DEN,25-44,49127.0,31.505166666666668,315.0516666666667,6.9012085135009915,208.3625870948784,Air,Narrowbody
52,New York city,EWR,New York city,EWR,45-64,67046.0,0.0,0.0,2.6993333333333336,1000.0,Car,Narrowbody
53,New York city,EWR,San Jose city,SFO,65+,67046.0,51.82394444444445,518.2394444444445,9.650724419501692,335.9936071130333,Air,Narrowbody
54,New York city,EWR,El Paso city,PHX,25-44,67046.0,39.00111111111111,390.01111111111106,15.13069352138319,240.01277332385538,Air,Widebody
55,New York city,EWR,Las Vegas city,LAS,45-64,67046.0,44.86305555555556,448.6305555555556,8.143232006453925,254.70210230040237,Air,Widebody
56,Detroit city,DTW,Los Angeles city,LAX,15-24,32498.0,40.57886111111111,405.7886111111111,7.931682979476432,226.3186217067396,Air,Widebody
57,Denver city,DEN,Houston city,AUS,25-44,72661.0,12.187166666666668,121.87166666666668,10.18983301545919,91.27343256380496,Air,Widebody
58,Washington city,BWI,Los Angeles city,LAX,15-24,90842.0,47.40863888888889,474.0863888888889,8.966859630550209,259.68112847104294,Air,Widebody
59,New York city,EWR,Los Angeles city,LAX,25-44,67046.0,50.18533333333334,501.8533333333334,8.897570634384506,313.61143633924394,Air,Narrowbody
60,Chicago city,ORD,Chicago city,ORD,15-24,62097.0,0.0,0.0,3.243277777777778,1000.0,Car,Narrowbody
61,Houston city,AUS,Philadelphia city,PHL,25-44,53600.0,32.52019444444444,325.2019444444444,11.447633571543772,180.89642245880123,Air,Narrowbody
62,New York city,EWR,San Francisco city,SFO,65+,67046.0,51.29608333333333,512.9608333333333,9.21911330839058,335.9936071130333,Air,Narrowbody
63,Philadelphia city,PHL,San Jose city,SFO,25-44,49127.0,51.03736111111111,510.37361111111113,9.474817688500599,328.2651594804369,Air,Narrowbody
64,Memphis city,MEM,Milwaukee city,ORD,25-44,41864.0,11.863055555555556,118.63055555555556,6.011229255591899,120.22193150525513,Air,Hydrogen-electric regional
65,Milwaukee city,ORD,Los Angeles city,LAX,15-24,43125.0,36.63608333333333,366.3608333333333,8.730278867495999,200.11302973443154,Air,Widebody
66,New York city,EWR,Las Vegas city,LAS,25-44,67046.0,44.86305555555556,448.6305555555556,8.143232006453925,254.70210230040237,Air,Widebody
67,New York city,EWR,Seattle city,PDX,15-24,67046.0,50.69094444444444,506.9094444444444,12.38229040533087,298.9658745243989,Air,Widebody
68,Chicago city,ORD,Las Vegas city,LAS,15-24,62097.0,30.49186111111111,304.9186111111111,6.655942582479761,200.64121486060492,Air,Narrowbody
69,San Diego city,LAX,Columbus city,CLE,25-44,83454.0,39.97869444444444,399.78694444444443,9.817737800142279,264.4934942881923,Air,Narrowbody
70,San Francisco city,SFO,Los Angeles city,LAX,65+,119136.0,7.545638888888889,75.4563888888889,3.696193116869494,50.60028545227325,Air,Narrowbody
71,Los Angeles city,LAX,San Diego city,LAX,25-44,65290.0,0.6194999999999999,6.194999999999999,2.7838333333333334,1000.0,Car,Narrowbody
72,New York city,EWR,New York city,EWR,45-64,67046.0,0.0,0.0,2.6993333333333336,1000.0,Car,Narrowbody
73,New York city,EWR,San Diego city,LAX,45-64,67046.0,50.06330555555555,500.63305555555553,8.669292856606729,313.61143633924394,Air,Narrowbody
74,New York city,EWR,Phoenix city,PHX,25-44,67046.0,44.236666666666665,442.3666666666667,7.765832410272079,240.01277332385538,Air,Widebody
75,San Jose city,SFO,Columbus city,CLE,65+,117324.0,43.27436111111111,432.74361111111114,10.764479628812158,251.26970124016725,Air,Widebody
76,Phoenix city,PHX,New York city,EWR,65+,60914.0,44.236666666666665,442.3666666666667,7.76583241027208,240.01277332385538,Air,Widebody
77,New York city,EWR,Phoenix city,PHX,45-64,67046.0,44.236666666666665,442.3666666666667,7.765832410272079,240.01277332385538,Air,Widebody
78,San Jose city,SFO,San Jose city,SFO,65+,117324.0,0.0,0.0,3.6276111111111113,1000.0,Car,Narrowbody
79,Houston city,AUS,New York city,EWR,25-44,53600.0,34.07541666666667,340.7541666666667,11.664814052648198,168.45886900916858,Air,Widebody
80,Houston city,AUS,Chicago city,ORD,15-24,53600.0,21.991666666666667,219.91666666666669,10.699621194003424,113.94124560420865,Air,Widebody
81,Chicago city,ORD,New York city,EWR,15-24,62097.0,14.73025,147.3025,4.827858714836293,103.29442463248704,Air,Narrowbody
82,New York city,EWR,New York city,EWR,65+,67046.0,0.0,0.0,2.6993333333333336,1000.0,Car,Narrowbody
83,Phoenix city,PHX,Jacksonville city,MCO,25-44,60914.0,35.656444444444446,356.56444444444446,9.447637056892965,194.67802384164938,Air,Widebody
84,Los Angeles city,LAX,Los Angeles city,LAX,45-64,65290.0,0.0,0.0,3.0121111111111114,1000.0,Car,Narrowbody
85,New York city,EWR,Milwaukee city,ORD,25-44,67046.0,16.824749999999998,168.24749999999997,6.116219825947404,91.81193240438456,Air,Widebody
86,Mesa city,PHX,Las Vegas city,LAS,45-64,61640.0,6.313944444444445,63.13944444444445,3.2069905872072915,36.62191471049777,Air,Widebody
87,Denver city,DEN,El Paso city,PHX,25-44,72661.0,12.204916666666666,122.04916666666665,11.64496530626045,74.22060273727661,Air,Widebody
88,Denver city,DEN,Houston city,AUS,45-64,72661.0,12.187166666666668,121.87166666666668,10.18983301545919,91.27343256380496,Air,Widebody
89,New York city,EWR,Los Angeles city,LAX,65+,67046.0,50.18533333333334,501.8533333333334,8.897570634384506,313.61143633924394,Air,Narrowbody
90,Detroit city,DTW,San Jose city,SFO,25-44,32498.0,42.21747222222222,422.1747222222222,8.625457036433554,243.32937838578755,Air,Widebody
91,New York city,EWR,Chicago city,ORD,65+,67046.0,14.73025,147.3025,4.827858714836292,91.81193240438456,Air,Widebody
92,Chicago city,ORD,El Paso city,PHX,45-64,62097.0,26.844694444444443,268.4469444444444,13.726276966894025,166.14006755284746,Air,Widebody
93,Las Vegas city,LAS,El Paso city,PHX,25-44,58377.0,13.428194444444443,134.28194444444443,10.406046142762847,40.3583614582599,Air,Narrowbody
94,Tucson city,PHX,Sacramento city,SMF,65+,45227.0,15.688,156.88,6.867542538213549,150.12343607053344,Air,Hydrogen-electric regional
95,New York city,EWR,Charlotte city,CLT,45-64,67046.0,12.572333333333331,125.72333333333331,4.12166119920598,75.42986027857727,Air,Narrowbody
96,Oklahoma City city,DFW,San Diego city,LAX,65+,56456.0,23.25525,232.5525,8.656673609168108,136.51788064652132,Air,Widebody
97,Los Angeles city,LAX,Tucson city,PHX,65+,65290.0,9.098833333333332,90.98833333333332,5.904150489604325,87.76557375898219,Air,Hydrogen-electric regional
98,Jacksonville city,MCO,Tucson city,PHX,25-44,55531.0,33.66952777777778,336.6952777777778,11.30355372355963,194.67802384164938,Air,Widebody
99,Chicago city,ORD,Portland city,PDX,25-44,62097.0,36.70061111111112,367.00611111111124,7.50625907451495,217.16469659704694,Air,Widebody
100,Detroit city,DTW,New York city,EWR,15-24,32498.0,11.589333333333332,115.89333333333332,4.834553747635762,123.73853112042342,Air,Hydrogen-electric regional
101,Columbus city,CLE,Houston city,AUS,25-44,54902.0,24.484527777777775,244.84527777777774,13.016030538921807,134.32171224557922,Air,Widebody
102,Phoenix city,PHX,Denver city,DEN,45-64,60914.0,15.413472222222222,154.13472222222222,4.28010419514934,74.22060273727661,Air,Widebody
103,Los Angeles city,LAX,New York city,EWR,25-44,65290.0,50.18533333333334,501.8533333333334,8.897570634384506,313.61143633924394,Air,Narrowbody
104,Los Angeles city,LAX,Los Angeles city,LAX,45-64,65290.0,0.0,0.0,3.0121111111111114,1000.0,Car,Narrowbody
105,Houston city,AUS,New York city,EWR,25-44,53600.0,34.07541666666667,340.7541666666667,11.664814052648198,168.45886900916858,Air,Widebody
106,Phoenix city,PHX,New York city,EWR,45-64,60914.0,44.236666666666665,442.3666666666667,7.76583241027208,240.01277332385538,Air,Widebody
107,Columbus city,CLE,San Francisco city,SFO,45-64,54902.0,42.7465,427.465,10.332868517701044,285.1324568058621,Air,Narrowbody
108,Mesa city,PHX,Chicago city,ORD,45-64,61640.0,31.17833333333333,311.7833333333333,6.527221411338469,188.05468391111947,Air,Narrowbody
109,San Jose city,SFO,New York city,EWR,15-24,117324.0,51.82394444444445,518.2394444444445,9.650724419501692,295.8709623265728,Air,Widebody
110,New York city,EWR,New York city,EWR,45-64,67046.0,0.0,0.0,2.6993333333333336,1000.0,Car,Narrowbody
111,New York city,EWR,Los Angeles city,LAX,25-44,67046.0,50.18533333333334,501.8533333333334,8.897570634384506,313.61143633924394,Air,Narrowbody
112,El Paso city,PHX,New York city,EWR,45-64,48866.0,39.00111111111111,390.01111111111106,15.13069352138319,240.01277332385538,Air,Widebody
113,Jacksonville city,MCO,Los Angeles city,LAX,45-64,55531.0,42.61497222222222,426.1497222222222,10.616628730292451,263.7858894262596,Air,Narrowbody
114,New York city,EWR,Milwaukee city,ORD,45-64,67046.0,16.824749999999998,168.24749999999997,6.116219825947404,91.81193240438456,Air,Widebody
115,Portland city,PDX,Seattle city,PDX,15-24,73159.0,3.4765277777777777,34.765277777777776,5.6585833333333335,1000.0,Car,Narrowbody
116,Detroit city,DTW,Denver city,DEN,65+,32498.0,22.685277777777777,226.85277777777776,6.032752476215158,155.2155489127181,Air,Narrowbody
117,Charlotte city,CLT,New York city,EWR,65+,65359.0,12.572333333333331,125.72333333333331,4.121661199205979,67.37688321061025,Air,Widebody
118,New York city,EWR,Philadelphia city,PHL,45-64,67046.0,1.982361111111111,19.82361111111111,2.8809416686420595,20.23719059439736,Car,Narrowbody
119,Tucson city,PHX,San Diego city,LAX,45-64,45227.0,8.989555555555556,89.89555555555556,5.192725574862852,48.008789667949216,Air,Widebody
120,Detroit city,DTW,Mesa city,PHX,45-64,32498.0,35.633361111111114,356.33361111111117,7.001921795963007,191.6818037447893,Air,Widebody
121,New York city,EWR,Mesa city,PHX,15-24,67046.0,44.02144444444445,440.2144444444445,7.931637965827635,240.01277332385538,Air,Widebody
122,New York city,EWR,Denver city,DEN,25-44,67046.0,32.29175,322.9175,7.069754994631531,190.40141909628713,Air,Widebody
123,Oklahoma City city,DFW,Los Angeles city,LAX,25-44,56456.0,23.377277777777778,233.77277777777778,8.884951386945884,136.51788064652132,Air,Widebody
124,New York city,EWR,San Diego city,LAX,25-44,67046.0,50.06330555555555,500.63305555555553,8.669292856606729,313.61143633924394,Air,Narrowbody
125,Memphis city,MEM,Los Angeles city,LAX,65+,41864.0,31.61,316.1,6.517372548384692,178.21974414429042,Air,Widebody
126,Los Angeles city,LAX,Phoenix city,PHX,25-44,65290.0,7.05225,70.5225,4.048233822937657,87.76557375898219,Air,Hydrogen-electric regional
127,New York city,EWR,Los Angeles city,LAX,25-44,67046.0,50.18533333333334,501.8533333333334,8.897570634384506,313.61143633924394,Air,Narrowbody
128,Houston city,AUS,New York city,EWR,25-44,53600.0,34.07541666666667,340.7541666666667,11.664814052648198,168.45886900916858,Air,Widebody
129,Denver city,DEN,New York city,EWR,25-44,72661.0,32.29175,322.9175,7.069754994631531,215.72117175135045,Air,Narrowbody
130,Sacramento city,SMF,New York city,EWR,25-44,65847.0,49.59725,495.9725,9.109849459659184,330.09116159167826,Air,Narrowbody
131,Jacksonville city,MCO,Denver city,DEN,25-44,55531.0,31.352277777777772,313.5227777777777,9.329812566550778,193.0816144173045,Air,Narrowbody
132,Las Vegas city,LAS,Oklahoma City city,DFW,25-44,58377.0,19.343944444444443,193.43944444444443,8.232558119197021,119.4688208280326,Air,Widebody
133,Columbus city,CLE,New York city,EWR,25-44,54902.0,10.580749999999998,105.80749999999998,6.444812360030312,103.59470192385322,Air,Hydrogen-electric regional
134,Los Angeles city,LAX,Washington city,BWI,65+,65290.0,47.40863888888889,474.0863888888889,8.966859630550209,259.68112847104294,Air,Widebody
135,New York city,EWR,El Paso city,PHX,65+,67046.0,39.00111111111111,390.01111111111106,15.13069352138319,240.01277332385538,Air,Widebody
136,New York city,EWR,Memphis city,MEM,25-44,67046.0,20.36888888888889,203.6888888888889,4.871286576548764,112.57390123167015,Air,Widebody
137,Seattle city,PDX,Los Angeles city,LAX,15-24,97185.0,21.883166666666664,218.83166666666665,8.097643148000884,116.35454367434758,Air,Narrowbody
138,San Francisco city,SFO,El Paso city,PHX,65+,119136.0,21.2105,212.105,11.495922940085133,78.40750823375727,Air,Widebody
139,Seattle city,PDX,New York city,EWR,25-44,97185.0,50.69094444444444,506.9094444444444,12.38229040533087,339.52289733144636,Air,Narrowbody
140,Chicago city,ORD,New York city,EWR,25-44,62097.0,14.73025,147.3025,4.827858714836293,103.29442463248704,Air,Narrowbody
141,Chicago city,ORD,Portland city,PDX,65+,62097.0,36.70061111111112,367.00611111111124,7.50625907451495,217.16469659704694,Air,Widebody
142,Mesa city,PHX,Chicago city,ORD,45-64,61640.0,31.17833333333333,311.7833333333333,6.527221411338469,188.05468391111947,Air,Narrowbody
143,New York city,EWR,Sacramento city,SMF,65+,67046.0,49.59725,495.9725,9.109849459659184,330.09116159167826,Air,Narrowbody
144,Sacramento city,SMF,Seattle city,PDX,25-44,65847.0,14.554583333333332,145.54583333333332,7.121661946798511,65.35352608302139,Air,Widebody
145,Tucson city,PHX,New York city,EWR,15-24,45227.0,44.15102777777778,441.5102777777778,9.621749076938746,240.01277332385538,Air,Widebody
146,Columbus city,CLE,New York city,EWR,25-44,54902.0,10.580749999999998,105.80749999999998,6.444812360030312,103.59470192385322,Air,Hydrogen-electric regional
147,Memphis city,MEM,Columbus city,CLE,45-64,41864.0,11.04188888888889,110.4188888888889,6.210024850961815,87.41495060125688,Air,Narrowbody
148,San Francisco city,SFO,Denver city,DEN,65+,119136.0,21.72008333333333,217.20083333333332,5.413758730751354,130.87044816332758,Air,Narrowbody
149,Oklahoma City city,DFW,Philadelphia city,PHL,45-64,56456.0,25.634777777777774,256.34777777777776,8.981824927762512,168.11286545835344,Air,Narrowbody
150,Portland city,PDX,New York city,EWR,25-44,73159.0,50.992666666666665,509.9266666666666,9.090595960886425,339.52289733144636,Air,Narrowbody
151,Columbus city,CLE,Denver city,DEN,25-44,54902.0,22.71983333333333,227.1983333333333,8.175085479461613,145.4289092868008,Air,Widebody
152,Milwaukee city,ORD,Philadelphia city,PHL,15-24,43125.0,16.081,160.81,5.976702427932702,97.39459249993945,Air,Narrowbody
153,Detroit city,DTW,Philadelphia city,PHL,65+,32498.0,10.80275,108.0275,4.00921188093672,68.53958791628737,Air,Narrowbody
154,Charlotte city,CLT,Houston city,AUS,25-44,65359.0,24.65202777777778,246.52027777777778,10.569982044644567,129.63794746328784,Air,Narrowbody
155,Columbus city,CLE,New York city,EWR,25-44,54902.0,10.580749999999998,105.80749999999998,6.444812360030312,103.59470192385322,Air,Hydrogen-electric regional
156,Chicago city,ORD,Detroit city,DTW,25-44,62097.0,5.197777777777778,51.977777777777774,3.75025509704522,40.748539070067935,Air,Narrowbody
157,Houston city,AUS,Las Vegas city,LAS,45-64,53600.0,18.42075,184.2075,10.48818468578649,137.0546307971427,Air,Narrowbody
158,New York city,EWR,Chicago city,ORD,45-64,67046.0,14.73025,147.3025,4.827858714836292,91.81193240438456,Air,Widebody
159,New York city,EWR,Houston city,AUS,25-44,67046.0,34.07541666666667,340.7541666666667,11.6648140526482,190.69893446659043,Air,Narrowbody
160,Jacksonville city,MCO,Columbus city,CLE,25-44,55531.0,15.322666666666668,153.2266666666667,9.669615257846107,117.22695843922935,Air,Narrowbody
161,Jacksonville city,MCO,New York city,EWR,25-44,55531.0,17.704694444444446,177.04694444444445,7.631578557475822,121.64165528729764,Air,Narrowbody
162,Houston city,AUS,New York city,EWR,25-44,53600.0,34.07541666666667,340.7541666666667,11.664814052648198,168.45886900916858,Air,Widebody
163,Los Angeles city,LAX,New York city,EWR,45-64,65290.0,50.18533333333334,501.8533333333334,8.897570634384506,313.61143633924394,Air,Narrowbody
164,Seattle city,PDX,Charlotte city,CLT,25-44,97185.0,50.21494444444444,502.1494444444444,11.824959354288382,269.10597666856006,Air,Widebody
165,Los Angeles city,LAX,New York city,EWR,45-64,65290.0,50.18533333333334,501.8533333333334,8.897570634384506,313.61143633924394,Air,Narrowbody
166,New York city,EWR,Los Angeles city,LAX,65+,67046.0,50.18533333333334,501.8533333333334,8.897570634384506,313.61143633924394,Air,Narrowbody
167,Portland city,PDX,Phoenix city,PHX,45-64,73159.0,24.75558333333333,247.5558333333333,4.93376764312004,138.33323125842657,Air,Narrowbody
168,New York city,EWR,New York city,EWR,45-64,67046.0,0.0,0.0,2.6993333333333336,1000.0,Car,Narrowbody
169,New York city,EWR,Columbus city,CLE,65+,67046.0,10.580749999999998,105.80749999999998,6.444812360030312,103.59470192385322,Air,Hydrogen-electric regional
170,New York city,EWR,Oklahoma City city,DFW,65+,67046.0,27.19558333333333,271.9558333333333,9.191901787625737,156.93565454596578,Air,Widebody
171,Houston city,AUS,New York city,EWR,25-44,53600.0,34.07541666666667,340.7541666666667,11.664814052648198,168.45886900916858,Air,Widebody
172,New York city,EWR,Jacksonville city,MCO,45-64,67046.0,17.704694444444446,177.04694444444445,7.631578557475822,121.64165528729764,Air,Narrowbody
173,New York city,EWR,Portland city,PDX,25-44,67046.0,50.992666666666665,509.9266666666666,9.090595960886425,298.9658745243989,Air,Widebody
174,Seattle city,PDX,Memphis city,MEM,45-64,97185.0,41.10461111111111,411.04611111111114,10.423759341679126,248.93059663110324,Air,Narrowbody
175,Seattle city,PDX,Chicago city,ORD,15-24,97185.0,36.08288888888889,360.82888888888886,10.797953518959394,217.16469659704694,Air,Widebody
176,Houston city,AUS,Washington city,BWI,45-64,53600.0,29.768,297.68,11.68911459348908,149.91396588502894,Air,Widebody
177,Los Angeles city,LAX,Chicago city,ORD,25-44,65290.0,35.83991666666667,358.3991666666667,7.441917756384887,226.79582920183086,Air,Narrowbody
178,Las Vegas city,LAS,New York city,EWR,65+,58377.0,44.86305555555556,448.6305555555556,8.143232006453925,254.70210230040237,Air,Widebody
179,Washington city,BWI,Detroit city,DTW,45-64,90842.0,9.81475,98.14750000000001,4.356838002148392,62.52831865201965,Air,Narrowbody
180,Seattle city,PDX,Houston city,AUS,65+,97185.0,34.69238888888889,346.92388888888894,15.451128744453488,223.90720413787164,Air,Narrowbody
181,New York city,EWR,Las Vegas city,LAS,65+,67046.0,44.86305555555556,448.6305555555556,8.143232006453925,254.70210230040237,Air,Widebody
182,Seattle city,PDX,Los Angeles city,LAX,15-24,97185.0,21.883166666666664,218.83166666666665,8.097643148000884,116.35454367434758,Air,Narrowbody
183,Chicago city,ORD,Detroit city,DTW,25-44,62097.0,5.197777777777778,51.977777777777774,3.75025509704522,40.748539070067935,Air,Narrowbody
184,Houston city,AUS,Philadelphia city,PHL,65+,53600.0,32.52019444444444,325.2019444444444,11.447633571543772,180.89642245880123,Air,Narrowbody
185,New York city,EWR,Tucson city,PHX,25-44,67046.0,44.15102777777778,441.5102777777778,9.621749076938746,240.01277332385538,Air,Widebody
186,New York city,EWR,New York city,EWR,45-64,67046.0,0.0,0.0,2.6993333333333336,1000.0,Car,Narrowbody
187,Los Angeles city,LAX,Chicago city,ORD,45-64,65290.0,35.83991666666667,358.3991666666667,7.441917756384887,226.79582920183086,Air,Narrowbody
188,Jacksonville city,MCO,New York city,EWR,65+,55531.0,17.704694444444446,177.04694444444445,7.631578557475822,121.64165528729764,Air,Narrowbody
189,Chicago city,ORD,New York city,EWR,45-64,62097.0,14.73025,147.3025,4.827858714836293,103.29442463248704,Air,Narrowbody
190,New York city,EWR,Los Angeles city,LAX,25-44,67046.0,50.18533333333334,501.8533333333334,8.897570634384506,313.61143633924394,Air,Narrowbody
191,New York city,EWR,El Paso city,PHX,25-44,67046.0,39.00111111111111,390.01111111111106,15.13069352138319,240.01277332385538,Air,Widebody
192,Houston city,AUS,New York city,EWR,65+,53600.0,34.07541666666667,340.7541666666667,11.664814052648198,168.45886900916858,Air,Widebody
193,El Paso city,PHX,Philadelphia city,PHL,45-64,48866.0,37.445888888888895,374.45888888888896,14.93610965677378,263.62859321711557,Air,Narrowbody
194,New York city,EWR,Los Angeles city,LAX,25-44,67046.0,50.18533333333334,501.8533333333334,8.897570634384506,313.61143633924394,Air,Narrowbody
195,Chicago city,ORD,New York city,EWR,15-24,62097.0,14.73025,147.3025,4.827858714836293,103.29442463248704,Air,Narrowbody
196,New York city,EWR,New York city,EWR,45-64,67046.0,0.0,0.0,2.6993333333333336,1000.0,Car,Narrowbody
